tico;ppro;dpro;stat;desc;hist;autr;adrs;reg;dpt_lettre;commune;affe;wadrs;wcom;code_departement;ploc;dmaj;ref;insee;contact;sclx;coordonnees_ban
Château de l'Olivier;La grille d'entrée en fer forgé : inscription par arrêté du 20 septembre 1946;1946/09/20 : inscrit MH;propriété privée;;En 1780, l'édifice comportait un rez-de-chaussée et un comble. Il fut surélevé d'un étage en 1890. La grille donnant accès au parc est l'ancienne grille du potager de Chanteloup, vendue à la Révolution. La façade est un dernier rappel de l'ordre colossal, son milieu à peine saillant marqué par deux effets de pilastres plats à l'aplomb du fronton. A l'ouest, le commun est un bâtiment du 18e siècle. A l'est du manoir, les terrasses s'étagent au-dessus des jardins. Cette demeure est, en Touraine, l'un des rares spécimens de construction de la fin du 18e siècle.;;;Centre-Val de Loire;Indre-et-Loire;Rochecorbon;;;Rochecorbon;37;Anciennement région de : Centre;2019-11-05;PA00098042;37203;mediatheque.patrimoine@culture.gouv.fr;"18e s.;19e s.";47.414882,0.755754
Ancienne auberge à pans de bois;Les façades et les toitures (cad. AX 86) : inscription par arrêté du 16 mai 1972;1972/05/16 : inscrit MH;propriété privée;;Maison présente une façade sur rue à pans de bois dont l'encorbellement est soutenu par des solives en bout taillées en corbeaux en quart de rond. Au premier étage, trois fenêtres sont à meneaux de bois. Perron de pierre à double rampe. Au rez-de-chaussée, deux salles étaient chauffées par des cheminées à hotte moulurées qui ont été vendues dans la première moitié du 20e siècle.;;;Centre-Val de Loire;Indre-et-Loire;Saché;;;Saché;37;Anciennement région de : Centre;2019-11-05;PA00098050;37205;mediatheque.patrimoine@culture.gouv.fr;15e s.;47.238144,0.533189
La Gruette;"La façade sur cour fermée et la toiture correspondante ; les murs de clôture entourant la cour ; le sol de la cour ; la chapelle (cad. E 1639, 1725 à 1731, 1731bis, 1732p, 1733p) : classement par arrêté du 14 juin 1961";1961/06/14 : classé MH;propriété privée;;"Tours connut, au 18e siècle, une certaine prospérité qui se manifesta par la construction de grands ensembles dans la ville et plusieurs demeures aux environs immédiats. Cette maison est l'une d'elles, construite par Audebert Cartier, menuisier du duc de Choiseul, au milieu d'une closerie antérieure à l'édifice. La gentilhommière, type parfait de la villa du 18e siècle, a l'aspect d'une ""folie"" Louis XV. La façade sud est encadrée de deux petits corps de bâtiments latéraux plus bas. Un fronton en tympan, orné d'un oeil de boeuf, et quatre lucarnes éclairent le premier étage. Le rez-de-chaussée compte cinq pièces en enfilade. Les boiseries sont d'époque. A l'extérieur, une grille subsiste, encadrée de deux piliers aux corbeilles de fruits, et précède ce qui reste de trois cabinets de verdure en charmille. Au sud-est se trouve la chapelle.";;;Centre-Val de Loire;Indre-et-Loire;Saint-Cyr-sur-Loire;;;Saint-Cyr-sur-Loire;37;Anciennement région de : Centre;2019-11-05;PA00098069;37214;mediatheque.patrimoine@culture.gouv.fr;18e s.;47.41466,0.657963
Eglise paroissiale Saint-Germain;Eglise : classement par arrêté du 8 juin 1908;1908/06/08 : classé MH;propriété de la commune;;Cette église est couverte d'une exceptionnelle voûte en berceau brisé nervuré à lunettes sur un côté.;;;Centre-Val de Loire;Indre-et-Loire;Saint-Germain-sur-Vienne;;;Saint-Germain-sur-Vienne;37;Anciennement région de : Centre;2019-04-03;PA00098077;37220;mediatheque.patrimoine@culture.gouv.fr;13e s.;47.180823,0.106972
Le Vieux Château;Les façades et toitures du châtelet (cad. F 51) : inscription par arrêté du 18 avril 1973;1973/04/18 : inscrit MH;propriété privée;;Le château de Saint-Michel est construit au sommet du coteau qui surplombe la rive droite de la Loire, sur un site en éperon barré. Par comparaison avec le château tout proche de Planchoury, on le surnomme le Vieux Château. Le domaine a appartenu à Yolande d'Aragon, reine de Naples, qui le revendit à Jean IV de Bueil. La famille d'Espinay le vendit ensuite à Charles d'Albert, duc de Luynes. Dans les années 1920, il appartenait au sénateur Germain qui y effectua quelques modifications et fit construire l'aile est néogothique flanquant le châtelet d'entrée. On ne reconnaît plus grand chose de l'édifice représenté par Gaignières en 1699 : subsistent aujourd'hui le châtelet d'entrée édifié au 15e siècle et son escalier en vis hors-oeuvre qui dessert également l'aile moderne rajoutée dans les années 20, une grange à pignon en rondelis située à l'ouest, la base voûtée d'une tour de défense quadrangulaire et une partie du mur d'enceinte d'origine. Ce mur est reconnaissable à l'est du châtelet et plusieurs constructions sont venues s'y accoler, en particulier l'aile moderne. On le retrouve également à l'extrémité du coteau dont il contient en partie la poussée. Une poterne permet de protéger l'escalier d'accès au bas de ce mur. Les autres portions de murs sont plus récentes. La tempête de Noël 1999 a accéléré la rupture de la maçonnerie qui a cédé sous la poussée des terres et provoqué une faille importante à cet emplacement. Un couloir souterrain incliné, voûté d'un berceau brisé, conduit à une salle rectangulaire couverte en berceau cintré soutenu par deux gros doubleaux. La destination de cette salle n'est pas connue.;;Langeais (route de) 2;Centre-Val de Loire;Indre-et-Loire;Saint-Michel-sur-Loire;;2 route de Langeais;Saint-Michel-sur-Loire;37;Anciennement région de : Centre;2019-11-05;PA00098090;37227;mediatheque.patrimoine@culture.gouv.fr;15e s.;47.30728,0.349343
Eglise Saint-Antoine;Clocher (cad. L 189) : inscription par arrêté du 1er avril 1959;1959/04/01 : inscrit MH;propriété de la commune;;D'une église primitive datant du 9e ou 10e siècle, subsiste le mur de chevet du choeur, en petit appareil. La nef, reconstruite au 12e siècle, a été restaurée et couverte d'une charpente avec lambris moderne. Elle aboutit à un choeur carré, voûté sur croisée d'ogives. Au 16e siècle, la nef a été doublée d'un collatéral avec lequel elle communique par trois arcades en arc brisé. Les trois travées sont voûtées en croisées d'ogives dont les clés armoriées ont été bûchées. Ce bas-côté aboutit à une chapelle latérale au choeur. Ce dernier est flanqué, au sud, d'un clocher dont la partie supérieure a été refaite au 16e siècle. La salle du rez-de-chaussée est voûtée sur une croisée d'ogives moulurées d'un tore et retombant sur des culots décorés de figures humaines.;;;Centre-Val de Loire;Indre-et-Loire;Thilouze;;;Thilouze;37;Anciennement région de : Centre;2019-04-03;PA00098126;37257;mediatheque.patrimoine@culture.gouv.fr;;47.218706,0.600982
Hôtel Cottereau;Le vestibule d'entrée avec sa porte sur cour et le portique attenant : inscription par arrêté du 13 juillet 1926;1926/07/13 : inscrit MH;propriété privée;;Hôtel Renaissance construit au 15e siècle et agrandi au 16e. Le vestibule d'entrée présente un plafond de pierre sculpté d'époque François Ier. Au fond du vestibule, ouvrant sur la cour, la porte est de la même époque, encadrée de deux pilastres avec chapiteaux sculptés. A la partie supérieure se trouve un tympan triangulaire orné d'arabesques. Au centre de ce tympan se détache un buste d'homme, sans doute un membre de la famille Cottereau qui donna plusieurs maires à la ville.;;Trois-Ecritoires (rue des) 7;Centre-Val de Loire;Indre-et-Loire;Tours;;7 rue des Trois-Ecritoires;Tours;37;Anciennement région de : Centre;2019-04-03;PA00098167;37261;mediatheque.patrimoine@culture.gouv.fr;16e s.;47.392861,0.680206
Ancienne maison canoniale;La façade et la toiture de l'ancien oratoire (cad. CH) : inscription par arrêté du 23 août 1946;1946/08/23 : inscrit MH;propriété d'un établissement public communal;;Petit oratoire de la maison canoniale, converti en habitation. La façade est précédée d'un escalier moderne. La salle de l'étage supérieur est couverte du berceau de bois en arc brisé.;;"Manceau (rue) 3 ; anciennement 5";Centre-Val de Loire;Indre-et-Loire;Tours;;"3 rue Manceau ; anciennement 5";Tours;37;Anciennement région de : Centre;2019-04-03;PA00098201;37261;mediatheque.patrimoine@culture.gouv.fr;15e s.;47.39553,0.695965
Maison;La porte d'entrée et la rampe d'escalier (cad. DX 192) : inscription par arrêté du 8 juillet 1946;1946/07/08 : inscrit MH;propriété privée;;Porte à vantail unique, divisé en six panneaux. Le panneau médian supérieur est décoré d'un motif sculpté avec palmettes et volutes. La rampe en fer forgé présente un départ orné de volutes.;;Cygne (rue du) 29;Centre-Val de Loire;Indre-et-Loire;Tours;;29 rue du Cygne;Tours;37;Anciennement région de : Centre;2019-04-03;PA00098225;37261;mediatheque.patrimoine@culture.gouv.fr;16e s.;47.39513,0.691131
Eglise paroissiale Saint-Hilaire;Eglise (cad. B 297) : inscription par arrêté du 18 juin 1962;1962/06/18 : inscrit MH;propriété de la commune;;La nef romane est accompagnée, au nord, par un collatéral du 17e siècle. Elle est continuée par une travée du 12e siècle sous le clocher, couverte d'une voûte du 15e siècle. Le choeur à chevet plat date du 15e siècle et est couvert d'une voûte en berceau moderne. Au nord du choeur se trouve la chapelle seigneuriale de la fin du 15e ou du début du 16e siècle. Le clocher est une grosse tour carrée romane dont la face orientale a été reconstruite au 15e siècle.;;;Centre-Val de Loire;Indre-et-Loire;Verneuil-le-Château;;;Verneuil-le-Château;37;Anciennement région de : Centre;2019-04-03;PA00098278;37268;mediatheque.patrimoine@culture.gouv.fr;"12e s.;15e s.;17e s.";47.043791,0.458364
Manoir du Clos de Pouvray;Ensemble des façades et des toitures (cad. D 953) : inscription par arrêté du 1er juin 1964;1964/06/01 : inscrit MH;propriété d'une société privée;;Le domaine a appartenu à la duchesse de La Vallière. Le bâtiment carré est percé de grandes fenêtres sans doute modifiées dès le 17e ou au 18e siècle. Une pièce de l'étage supérieur est encore entièrement constituée de pans de bois et de briques. L'ensemble des portes intérieures et des petits éléments de boiserie date du 18e siècle.;;;Centre-Val de Loire;Indre-et-Loire;Vernou-sur-Brenne;;;Vernou-sur-Brenne;37;Anciennement région de : Centre;2019-11-05;PA00098285;37270;mediatheque.patrimoine@culture.gouv.fr;16e s.;47.437195,0.839406
Maison;"Façades et toitures du corps de logis de la Grande-Rue ; façade et toiture sur rue de l'aile Nord sur la rue Traversière (cad. C 1085) : inscription par arrêté du 29 janvier 1992";1992/01/29 : inscrit MH;propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;"Grande-Rue () 11 bis ; Traversière (rue) 18";Centre-Val de Loire;Indre-et-Loire;Richelieu;;"Grande-Rue 11 bis ; 18 rue Traversière";Richelieu;37;Anciennement région de : Centre;2019-04-03;PA00098308;37196;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.013962,0.323935
Eglise Saint-Saturnin;Eglise Saint-Saturnin : inscription par arrêté du 11 juillet 1942;1942/07/11 : inscrit MH;propriété de la commune;;;;;Centre-Val de Loire;Loir-et-Cher;Blois;;;Blois;41;Anciennement région de : Centre;2019-04-03;PA00098344;41018;mediatheque.patrimoine@culture.gouv.fr;;47.580807,1.312396
Fontaine Saint-Nicolas;Fontaine Saint-Nicolas (non cadastré) : inscription par arrêté du 27 décembre 1946;1946/12/27 : inscrit MH;propriété de la commune;;Cette fontaine est celle des moines bénédictins de l'ancienne abbaye de Saint-Laumer. Adossée au mur de l'hôpital (ancienne abbaye de Saint-Laumer) , cette fontaine en pierre dure comprend une base, un tableau uni et une corniche. Deux bouches en bronze (tête humaine et tête de poisson) laissent couler l'eau. Trois marches descendent au bassin. Les eaux viennent du rocher par un canal aboutissant à une sorte de petit lac situé sous la rue des Degrés Saint-Nicolas.;;Saint-Nicolas (place);Centre-Val de Loire;Loir-et-Cher;Blois;;place Saint-Nicolas;Blois;41;Anciennement région de : Centre;2019-04-03;PA00098348;41018;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.584342,1.329454
Tour d'Argent (ancien Hôtel des Monnaies des Comtes de Blois);Tour d'Argent (ancien Hôtel des Monnaies des Comtes de Blois) : inscription par arrêté du 13 février 1926;1926/02/13 : inscrit MH;propriété privée;;Incendiée en juin 1940 : serait démolie depuis 1942.;;Trois-Clefs (rue des);Centre-Val de Loire;Loir-et-Cher;Blois;;rue des Trois-Clefs;Blois;41;Anciennement région de : Centre;2019-04-03;PA00098393;41018;mediatheque.patrimoine@culture.gouv.fr;"13e s.;15e s.";47.586871,1.334181
Maison, dite Maison des Consuls;Maison, dite Maison des Consuls, y compris son plafond peint (cad. AB 405 à 407) : classement par arrêté du 13 janvier 1978;1978/01/13 : classé MH;propriété privée;;"En 1199, un acte de Guilhem VIII de Montpellier accorde à Pierre de Roquefixe l'autorisation de construire un château et des fortifications. Cette construction peut vraisemblablement être identifiée avec la ""maison des consuls"" et aurait donc existé dès la fin du 12e siècle. L'affectation consulaire de l'édifice, donnée par la tradition, n'a pu être confirmée par les recherches. L'édifice comporte un sous-sol voûté, une salle en rez-de-chaussée avec local annexe et un étage avec un chemin de ronde, au-dessus des remparts soutenant la façade ouest. Le plafond peint de la grande salle du deuxième niveau peut être daté approximativement de la fin du 14e siècle. Il s'agit d'un plafond à la française, mouluré, comprenant des caissons entre les solives. Les sujets présentent une alternance de scènes à personnages et de blasons.";;;Occitanie;Hérault;Saint-Pons-de-Mauchiens;;;Saint-Pons-de-Mauchiens;34;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00103705;34285;mediatheque.patrimoine@culture.gouv.fr;13e s.;43.5059,3.514257
Croix en pierre;Croix en pierre, datée de 1773, sur la place publique : inscription par arrêté du 13 juillet 1926;1926/07/13 : inscrit MH;propriété de la commune;;La croix repose sur un socle carré posé sur trois marches. La base pyramidale à plan carré est ornée, d'un côté d'un soleil, sur la face opposée d'un quartier de lune, sur la troisième face d'armoiries et sur la quatrième d'une inscription. Les angles de cette face présentent deux anges adorateurs agenouillés. Au-dessus, le long fût cannelé en granit supporte le croisillon en calcaire. Sur une face est représenté le Christ crucifié, les pieds écartés, les reins ceints d'un voile. Sur l'autre face, une Vierge de miséricorde est supportée par un petit cul de lampe arrondi.;;;Occitanie;Lozère;Born (Le);;;Le Born;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103802;48029;mediatheque.patrimoine@culture.gouv.fr;18e s.;44.560897,3.560057
Croix en pierre;Croix en pierre, sur la place, au chevet de l'église : inscription par arrêté du 6 mai 1939;1939/05/06 : inscrit MH;propriété de la commune;;Croix appartenant au gothique flamboyant. Les extrémités des bras sont terminés par quatre choux très saillants. De petites arcatures nervées et évidées agrémentent l'intersection des bras. En saillie sur le profil du fût, au pied de la crucifixion, deux anges adorateurs sont à genoux. Au revers, la Vierge porte l'Enfant. Le fût et le piédestal sont modernes.;;;Occitanie;Lozère;Laval-Atger;;;Laval-Atger;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103835;48084;mediatheque.patrimoine@culture.gouv.fr;16e s.;44.809084,3.683169
Immeuble;Porte sur rue (cad. A 171) : inscription par arrêté du 21 février 1973;1973/02/21 : inscrit MH;propriété privée;;Porte constituée par deux pilastres reposant sur des socles ornés d'un losange à grand axe horizontal. Ces pilastres sont unis, assez élancés et proches de l'ordre dorique. Deux pierres taillées en têtes de diamant à facettes raccordent les pilastres et le fronton triangulaire. Le fronton mouluré est brisé à sa partie supérieure pour encadrer un motif décoratif terminé par une boule. Au milieu du fronton est percée une ouverture ovale munie d'un chanfrein s'élargissant vers le haut pour permettre à plus de lumière d'éclairer l'intérieur. Le linteau est droit et monolithe. La menuiserie en chêne est la copie de celle qui existait antérieurement. Elle est à panneaux et petit cadre vers l'extérieur. Un panneau oval est placé en son centre, au milieu duquel se trouve le bouton.;;Florit (rue);Occitanie;Lozère;Malzieu-Ville (Le);;rue Florit;Le Malzieu-Ville;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103841;48090;mediatheque.patrimoine@culture.gouv.fr;17e s.;44.858326,3.335582
Immeuble;"Façades et toitures ; escalier ; calade de la cour (cad. AS 304, 360) : inscription par arrêté du 9 décembre 1985";1985/12/09 : inscrit MH;propriété privée;;;;Basse (rue) 25;Occitanie;Lozère;Mende;;25 rue Basse;Mende;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103865;48095;mediatheque.patrimoine@culture.gouv.fr;;44.51816,3.500306
Maison;Escalier à rampe en fer forgé : inscription par arrêté du 17 avril 1950;1950/04/17 : inscrit MH;propriété privée;;"Hôtel particulier puis imprimerie, la maison conserve des restes de fortifications dans le jardin, ainsi qu'une ancienne poterne du ""Gabion de Champnou"" par laquelle la tradition fait passer le capitaine Merle en 1580. L'édifice conserve un escalier rampe sur rampe en pierre avec rampe en fer forgé. Le limon en pierre appareillée repose sur des piliers doriques. Les rampants de l'escalier sont constitués par des voûtes d'arête.";;Basse (rue) 5;Occitanie;Lozère;Mende;;5 rue Basse;Mende;48;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00103867;48095;mediatheque.patrimoine@culture.gouv.fr;18e s.;44.518518,3.49957
Croix en pierre;Croix en pierre de 1623 : inscription par arrêté du 13 juillet 1926;1926/07/13 : inscrit MH;propriété de la commune;;La base de la croix était autrefois encastrée, pour trois faces, dans les maçonneries d'une grange et du mur de clôture d'un jardin. Les risques d'effondrement des bâtiments l'ont faite transportée sur la place de l'église en 1932. La croix est posée sur un socle gothique de section octogonale. Au centre du croisillon est portée la date de 1623.;;Eglise (place de l');Occitanie;Lozère;Sainte-Hélène;;place de l'Eglise;Sainte-Hélène;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103926;48157;mediatheque.patrimoine@culture.gouv.fr;17e s.;44.519239,3.603399
Clocher de tourmente d'Auriac;"Clocher de tourmente d'Auriac, au hameau d'Auriac (cad. domaine public communal ; non cadastré) : inscription par arrêté du 17 juillet 1992";1992/07/17 : inscrit MH;propriété de la commune;;"Les clochers dits ""de tourmente"" sont limités aux franges du Mont Lozère. Construits dans des hameaux dépourvus d'églises, ces ouvrages servaient à diverses occasions : angélus, glas, appel pour l'école communale, prévention contre les orages de grêle, signal sonore à l'attention des personnes égarées par le brouillard. Ils se limitent aujourd'hui au glas et aux incendies. Ces clochers s'apparentent au type du clocher-mur à baie unique à arc plein cintre et sont dressés sur une base rectangulaire amincie vers le haut. Certains sont munis d'une petite loge pour le sonneur, ménagée dans l'épaisseur de la base. Parfois dotés d'une petite niche où prend place la statue de la Vierge ou d'un saint, ils sont tous chargés d'une croix de fer ou en pierre. Ces ouvrages sont l'oeuvre du 19e siècle.";;Hameau d'Auriac;Occitanie;Lozère;Saint-Julien-du-Tournel;;Hameau d'Auriac;Saint-Julien-du-Tournel;48;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103945;48027;mediatheque.patrimoine@culture.gouv.fr;19e s.;44.499786,3.684304
Dolmen dit Cava de l'Alarb;Dolmen dit Cava de l'Alarb (cad. CH 162) : classement par arrêté du 3 novembre 1958;1958/11/03 : classé MH;propriété privée;;;;;Occitanie;Pyrénées-Orientales;Argelès-sur-Mer;;;Argelès-sur-Mer;66;Anciennement région de : Languedoc-Roussillon;2019-04-03;PA00103956;66008;mediatheque.patrimoine@culture.gouv.fr;Néolithique;42.543258,3.026232
Eglise Saint-Vincent;Eglise Saint-Vincent (cad. B 1176) : classement par arrêté du 28 janvier 1960;1960/01/28 : classé MH;propriété de la commune;;La plus ancienne mention de l'église figure sur une donation de la fin du 10e siècle. Donnée à l'abbaye Saint-Martin du Canigou en 1035, elle lui appartint jusqu'à la Révolution. Reconstruite sans doute par ses soins, l'église fut à nouveau consacrée en 1053. Une dernière dédicace, conséquence d'importantes transformations, eut lieu en 1213. L'édifice se compose d'une nef longée d'un bas-côté sud. Le bas-côté communique avec la nef par des arcades inégales portées par deux colonnes et par un pilier cruciforme. Il est voûté d'un demi-berceau et se termine à l'est par une absidiole creusée dans un massif, plat vers l'extérieur. Cette nef voûtée en berceau brisé se termine par une abside en hémicycle. Son pignon ouest est couronné par un clocher-mur à deux arcades. La partie des maçonneries du mur nord (formée de moellons bruts posés en arrêtes de poisson) est sans doute un vestige de la construction du 10e siècle. La consécration de 1053 peut correspondre à la construction de la nef méridionale et au percement, dans le mur séparatif, d'arcades portées par des piliers cruciformes. L'ancienne nef et son bas-côté ont été primitivement couverts de charpentes apparentes posées sur les arcs doubleaux dont les dosserets apparaissent encore au-dessus des chapiteaux. Deux colonnes semblent avoir été subsistuées aux piliers cruciformes dont le soubassement est conservé (sans doute au 13e siècle). A la consécration de 1213 correspondent la construction de l'abside principale, le parement de la fenêtre de l'absidiole et le placage qui masque l'ancienne porte du pignon ouest, ainsi que le portail sud en marbre rose. Les voûtes datent vraisemblablement de la même campagne.;;;Occitanie;Pyrénées-Orientales;Eus;;;Eus;66;Anciennement région de : Languedoc-Roussillon;2019-04-03;PA00104025;66074;mediatheque.patrimoine@culture.gouv.fr;15e s.;42.63661,2.465412
Eglise Sainte-Marie;Eglise : classement par arrêté du 8 août 1922;1922/08/08 : classé MH;propriété de la commune;;Edifice du 12e siècle comprenant une nef avec abside en cul de four, recouvert d'une voûte en berceau ogive reposant sur les murs. Un clocher carré s'élève contre la façade nord. Il comporte plusieurs étages dont deux à baies géminées avec colonnettes et chapiteaux. Il se termine par une couverture de forme pyramidale en lauzes. C'est l'un des rares exemples subsistant de couronnements de clochers romans dans la région. Un portail cantonné de deux colonnettes et encadré d'une archivolte à billettes, donne accès à la nef du côté sud. Cette nef était, à l'origine, couverte en lauzes d'ardoise.;;;Occitanie;Pyrénées-Orientales;Montferrer;;;Montferrer;66;Anciennement région de : Languedoc-Roussillon;2019-04-03;PA00104050;66116;mediatheque.patrimoine@culture.gouv.fr;;42.438708,2.575403
Hôtel de Régis;Façades et toitures sur rue et sur cour, y compris l'escalier (cad. EY 481) : inscription par arrêté du 7 février 1975;1975/02/07 : inscrit MH;propriété privée;;En 1671, l'emplacement était occupé par une maison avec porche et jardin. D'après divers détails stylistiques, il ne semble pas que l'hôtel soit antérieur au début du 18e siècle. La façade présente, au rez-de-chaussée, un portail d'entrée surmonté par une corniche et abrité sous un épais fronton circulaire. Au centre se détache un motif décoratif. Tous les linteaux, cintrés, sont décorés de consoles. Au deuxième étage, elles sont ornées de canaux et de guirlandes. Au premier, elles sont plus importantes et diversement traitées (guirlandes, personnages).;;Chapître (rue du) 14;Occitanie;Gard;Nîmes;;14 rue du Chapître;Nîmes;30;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00103099;30189;mediatheque.patrimoine@culture.gouv.fr;18e s.;43.837604,4.360956
Maison;Balcon en fer forgé du premier étage (cad. L 50) : inscription par arrêté du 19 février 1964;1964/02/19 : inscrit MH;propriété privée;;"Un plan féodal du chapitre, dressé d'après le compoix de 1671, montre que les immeubles situés entre le boulevard Gambetta et la rue de la Ferrage étaient alors de très modeste importance. A cette époque, l'actuel n°28 était occupé par trois maisons. Un regroupement immobilier a abouti, probablement entre 1760 et 1780, à la construction d'un hôtel assez important, avec terrasse sur le boulevard, sortie arrière rue de la Ferrage et façade principale ornée d'un balcon. La terrasse longe le boulevard au-dessus d'une série de boutiques. Le mur principal de façade est construit en arrière de cette terrasse. Il comporte un rez-de-chaussée surélevé, de plain-pied avec la terrasse ; un premier étage percé de cinq fenêtres et un deuxième étage avec cinq fenêtres plus petites. Le premier étage comporte, au centre, une porte-fenêtre à balcon galbé. Cette ferronnerie comporte un petit médaillon central ovale, au monogramme encadré de volutes symétriques. De part et d'autre, de longues volutes partant du pied de l'axe central, vont enrouler leurs spirales symétriquement, en dessinant un grand motif unique couvrant l'ensemble du panneau. Ces volutes sont entretoisées, alternativement, par des cercles et des losanges. Les angles arrondis du balcon correspondent à de petits panneaux cintrés dont le remplage à volutes se développe dans un encadrement simple, de façon à donner au motif spiralé une ampleur aussi grande que possible, en rapport avec celle du panneau central. Le dallage du balcon présente les mêmes ondulations que la ferronnerie.";;Gambetta (boulevard) 28;Occitanie;Gard;Nîmes;;28 boulevard Gambetta;Nîmes;30;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103134;30189;mediatheque.patrimoine@culture.gouv.fr;18e s.;43.840325,4.360036
Eglise Saint-Martin;Eglise (cad. J 276) : inscription par arrêté du 5 août 1963;1963/08/05 : inscrit MH;propriété de la commune;;Cette église du 12e siècle se trouve aujourd'hui isolée, le centre de peuplement s'étant déplacé vers la plaine. Elle était le siège d'un prieuré qui dépendait du diocèse d'Uzès. En 1472, lorsque l'église Saint-Jean d'Alais fut érigée en collégiale, Rousson fut uni à ce nouveau chapitre. Par la suite, le prieur, désigné par le chapitre d'Alais, présentait son vicaire à la collation de l'évêque d'Uzès. La date de construction des bâtiments du prieuré (1617) se place dans la période de prospérité des revenus du prieuré. L'examen de l'ensemble des constructions fait apparaître plusieurs campagnes de construction. Au 12e siècle, construction de la nef, de l'abside centrale et des deux absidioles qui terminent le transept. La couverture de la nef a entièrement été refaite vers le début du 17e siècle, sur des doubleaux postiches qui retombent, tantôt au droit des piliers, tantôt sur les reins des grandes arcades. A cette époque, la toiture a été surélevée et refaite en tuiles canal. Les deux chapelles qui ont été ajoutées au nord et au sud de la travée du fond, sont couvertes d'ogives d'apparence moderne. La salle basse qui relie le prieuré au fond de la nef est une construction moderne. La sacristie est une adjonction du 19e siècle.;;;Occitanie;Gard;Rousson;;;Rousson;30;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103189;30223;mediatheque.patrimoine@culture.gouv.fr;"12e s.;17e s.";44.193053,4.157092
Grotte préhistoriques de Labaume-Latrone;Grotte préhistoriques de Labaume-Latrone : classement par arrêté du 19 mai 1941;1941/05/19 : classé MH;propriété de la commune;;;;;Occitanie;Gard;Sainte-Anastasie;;;Sainte-Anastasie;30;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103191;30228;mediatheque.patrimoine@culture.gouv.fr;"Age du bronze;Chalcolithique;Néolithique;Préhistoire";43.941811,4.332819
Domaine de Plantery;Fontaine (cad. B 652, 659) : inscription par arrêté du 5 août 1963;1963/08/05 : inscrit MH;propriété privée;;;;;Occitanie;Gard;Uzès;;;Uzès;30;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00103253;30334;mediatheque.patrimoine@culture.gouv.fr;18e s.;44.021039,4.415657
Maison;L'entrée, le sol de la cour et la tourelle d'escalier (cad. H 1625, 1623) : inscription par arrêté du 10 mars 1965;1965/03/10 : inscrit MH;propriété privée;;Plusieurs immeubles de cet îlot appartenaient au chapitre cathedral d'Agde pour être attribués comme résidences aux principaux bénéficiers. Tel est le cas de cet immeuble. La partie ancienne est limitée aux six mètres de façade au nord-ouest. La tour d'escalier se dresse à l'angle oriental de la cour qui a conservé son dallage ancien. La tourelle, qui déborde sur la cour par un quart de cercle, a ses autres parois intérieures rectangulaires. Elle contient une vis à noyau plein qui s'élève sur quatre étages au-dessus du rez-de-chaussée. Toute la construction est en lave basaltique noire. De même que la porte d'entrée de la tourelle dont l'encadrement, malgré la nature difficile de ce matériau, a été décoré de sculptures compliquées.;;Michelet (rue) 5;Occitanie;Hérault;Agde;;5 rue Michelet;Agde;34;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103347;34003;mediatheque.patrimoine@culture.gouv.fr;17e s.;43.313401,3.469764
