country	year	january	february	march	april	may	june	july	august	september	october	november	december
Italie	1983	-4.0	-0.3	6.4	13.2	13.3	23.2	18.8	27.9	19.6	8.7	7.7	-0.6
Italie	1984	-4.6	6.8	4.1	11.2	13.5	19.6	25.8	24.0	16.3	11.7	6.0	-0.5
Italie	1985	2.3	-2.7	8.4	11.4	12.0	20.6	29.9	29.8	12.9	9.8	9.8	3.6
Italie	1986	1.0	2.4	2.4	5.9	14.9	25.0	21.6	26.3	17.5	6.1	3.8	-2.4
Italie	1987	3.6	1.5	10.4	13.3	10.9	18.4	19.9	21.9	15.4	12.3	5.7	-2.8
Italie	1988	1.5	6.6	8.4	12.4	13.5	24.5	27.8	19.6	17.5	8.8	0.3	3.7
Italie	1989	-1.7	5.6	10.5	14.9	13.8	21.5	26.7	23.4	13.9	15.0	5.5	-1.7
Italie	1990	-3.7	0.9	10.9	6.9	14.5	18.2	26.8	18.4	10.1	6.8	3.2	-4.9
Italie	1991	-3.7	2.1	11.5	8.4	18.4	22.1	29.4	22.3	11.4	9.0	4.2	1.7
Italie	1992	4.7	3.8	7.4	12.2	17.8	17.2	20.1	25.3	17.5	7.6	9.3	3.5
Italie	1993	2.5	-2.9	3.1	10.1	14.1	22.8	21.2	29.2	13.0	6.1	5.1	1.5
Italie	1994	-4.2	2.3	10.8	6.8	15.4	24.1	27.0	19.5	15.3	10.5	0.1	0.6
Italie	1995	2.3	-2.4	9.3	6.6	11.1	23.8	20.3	21.9	10.4	9.6	10.0	-4.3
Italie	1996	4.0	-2.8	5.4	9.4	16.0	21.6	27.8	24.9	19.2	13.4	1.7	0.0
Italie	1997	3.9	-0.5	2.2	9.3	16.5	20.4	26.9	28.6	16.2	8.1	1.7	3.9
Italie	1998	-4.8	-2.3	6.6	10.2	11.2	24.8	19.8	25.8	18.6	11.3	1.0	-4.6
Italie	1999	-4.9	5.6	9.7	10.0	12.9	19.3	27.7	25.7	12.9	8.3	3.7	1.2
Italie	2000	2.7	5.6	3.5	12.7	14.1	17.6	29.5	22.0	15.6	5.8	4.8	-3.3
Italie	2001	2.5	-2.1	9.6	12.6	10.9	23.1	22.4	24.5	17.5	14.9	6.9	2.6
Italie	2002	0.9	-1.3	6.3	10.0	18.4	17.4	19.9	20.9	19.7	6.2	1.7	0.3
Italie	2003	-3.0	4.8	5.7	11.3	14.4	22.3	28.1	29.4	12.0	9.6	9.3	-2.1
Italie	2004	-0.7	1.9	3.3	11.1	11.2	15.9	28.2	29.9	15.0	10.2	2.0	-0.6
Italie	2005	2.4	0.5	2.1	11.5	12.5	23.7	27.1	23.1	15.0	5.6	5.5	-1.4
Italie	2006	5.0	1.0	10.5	13.4	11.5	22.0	18.9	27.6	14.4	7.6	4.6	0.1
Italie	2007	3.6	1.1	7.3	13.2	18.1	16.5	29.1	18.9	11.8	12.0	8.3	1.9
Italie	2008	-0.1	0.8	8.0	6.9	14.6	19.1	28.8	27.1	15.4	9.2	9.0	-3.5
Italie	2009	1.1	1.6	10.0	14.6	12.2	18.3	29.0	24.7	19.2	5.2	6.5	-1.5
Italie	2010	-1.4	0.0	5.2	11.8	17.5	16.2	20.1	22.6	10.1	6.3	3.4	-4.0
Italie	2011	4.3	2.2	5.3	13.0	16.0	23.5	19.5	21.3	12.9	10.9	9.9	-2.6
Italie	2012	-3.8	1.1	10.1	12.1	18.9	19.9	29.2	18.7	16.2	11.4	4.0	4.3
Italie	2013	4.9	4.7	9.6	12.9	12.3	22.7	27.5	22.2	18.9	10.4	6.2	-3.2
Italie	2014	-1.2	6.7	6.2	14.6	17.0	20.2	21.8	23.4	19.0	7.5	1.6	3.6
Italie	2015	0.6	5.7	11.5	9.5	11.7	15.1	26.7	18.9	10.0	5.4	7.3	-4.0
Italie	2016	4.7	4.1	3.7	13.9	15.8	19.8	25.9	19.2	15.9	14.5	1.3	-4.2
Italie	2017	0.7	6.7	5.9	8.3	14.0	24.7	29.4	19.9	10.6	7.6	2.1	2.4
Italie	2018	-1.0	0.5	11.1	6.5	14.2	17.5	18.4	22.8	11.5	6.4	2.0	2.2
Italie	2019	4.8	0.8	4.1	13.0	17.3	22.1	27.6	22.5	17.9	13.9	1.3	-1.2
Italie	2020	-2.6	-0.5	10.4	6.3	14.8	16.8	19.7	28.3	13.0	8.0	2.2	1.4
Portugal	1950	-3.1	1.8	6.2	6.6	12.3	22.7	25.5	28.9	16.8	9.7	4.1	-3.7
Portugal	1951	1.8	-1.4	6.7	8.9	11.1	23.7	21.4	26.0	11.9	8.7	4.0	1.6
Portugal	1952	-3.3	4.1	10.8	11.9	16.4	19.1	22.9	21.4	18.2	14.4	4.8	-3.3
Portugal	1953	-3.3	-2.9	11.7	7.4	18.0	15.7	19.8	26.3	17.6	13.2	3.0	-2.8
Portugal	1954	-4.0	5.5	10.1	14.8	19.6	16.6	26.2	23.9	12.1	5.4	6.9	-4.0
Portugal	1955	0.6	3.9	8.3	14.9	15.7	22.2	19.4	29.5	15.2	7.7	3.2	-1.5
Portugal	1956	-0.4	0.2	6.7	8.9	19.8	21.9	27.0	20.9	14.6	7.5	8.4	4.6
Portugal	1957	-4.6	-2.3	10.0	12.0	11.7	24.2	19.8	19.8	14.4	5.2	7.1	-4.0
Portugal	1958	-2.9	-1.9	7.0	13.9	13.0	17.1	27.9	23.7	16.5	10.0	5.5	3.8
Portugal	1959	2.8	6.5	8.3	11.8	19.8	18.8	27.4	23.2	16.0	7.0	3.7	-3.9
Portugal	1960	4.6	6.1	6.8	8.5	19.0	20.3	19.9	19.1	17.1	14.7	9.0	-0.4
Portugal	1961	-1.0	-1.2	9.4	11.2	18.3	16.4	26.5	21.0	17.3	12.7	6.8	-3.7
Portugal	1962	1.5	5.2	10.3	6.2	13.3	23.8	28.6	27.2	18.8	13.2	4.8	1.6
Portugal	1963	2.8	1.8	8.9	12.5	13.4	17.7	27.9	21.5	14.0	14.6	7.9	-4.2
Portugal	1964	0.5	6.4	4.6	11.7	19.1	16.1	23.7	22.0	12.0	9.9	7.3	2.3
Portugal	1965	0.5	0.3	9.4	11.2	14.1	24.1	20.8	28.3	12.9	13.7	8.5	5.0
Portugal	1966	2.0	3.2	5.6	11.5	15.1	18.7	25.2	27.1	15.5	14.3	0.7	-2.9
Portugal	1967	1.2	-1.2	10.3	9.6	11.8	20.3	21.5	27.0	15.0	5.6	5.3	-0.6
Portugal	1968	-2.4	3.2	2.0	12.8	12.9	16.3	21.3	23.6	18.5	9.3	7.4	-1.9
Portugal	1969	-1.8	2.9	7.6	8.7	11.9	21.5	22.7	27.4	13.3	14.0	1.6	-2.2
Portugal	1970	3.5	-3.0	11.3	10.6	12.0	20.7	18.2	19.7	14.6	12.7	1.3	-2.7
Portugal	1971	5.0	-2.1	8.1	13.1	13.8	24.0	27.8	20.9	13.5	5.1	8.6	1.6
Portugal	1972	4.9	1.2	4.0	6.0	10.8	22.6	19.7	21.3	17.2	8.2	6.8	2.3
Portugal	1973	1.4	0.9	4.1	12.5	19.6	16.7	29.8	18.5	10.1	13.7	4.4	1.4
Portugal	1974	-2.8	1.7	9.8	11.3	16.1	19.7	19.5	27.5	19.3	9.7	6.4	-1.1
Portugal	1975	1.3	1.4	7.5	11.3	13.2	23.4	24.8	27.3	14.4	12.2	0.9	1.9
Portugal	1976	-3.9	6.5	11.4	9.5	12.2	23.1	25.3	27.4	12.8	6.1	9.3	-4.3
Portugal	1977	4.4	-0.7	4.9	14.6	16.1	17.3	27.8	25.9	11.1	5.8	9.3	1.1
Portugal	1978	1.4	-1.2	7.2	8.5	10.5	16.9	19.5	29.5	19.7	5.8	8.1	3.2
Portugal	1979	-3.0	2.6	10.7	14.6	11.3	22.2	18.8	24.6	11.2	14.7	7.5	-4.4
Portugal	1980	1.9	3.0	10.1	9.4	12.5	24.1	25.7	23.6	17.9	6.6	8.9	3.5
Portugal	1981	-0.8	6.5	9.5	13.4	19.0	24.6	18.5	29.6	13.5	10.8	1.3	5.0
Portugal	1982	-3.6	2.8	6.3	7.5	11.2	18.5	21.7	21.3	18.5	10.5	8.4	-0.5
Portugal	1983	-4.2	2.0	7.1	6.9	18.1	20.5	26.5	24.2	12.3	8.2	2.9	-3.1
Portugal	1984	-0.5	5.5	11.6	5.7	16.6	22.4	19.8	21.3	14.6	12.0	0.3	4.2
Portugal	1985	-4.6	-1.4	6.9	5.7	13.0	24.5	24.3	23.4	17.3	9.0	3.3	2.1
Portugal	1986	-4.8	0.9	6.2	10.7	15.7	19.1	22.0	24.4	13.6	13.5	6.5	-0.3
Portugal	1987	-2.7	0.6	9.1	8.9	14.7	23.2	18.3	20.7	18.7	9.7	6.1	-3.1
Portugal	1988	4.5	3.4	3.3	9.6	12.7	22.5	25.0	27.1	18.4	11.5	9.2	-1.5
Portugal	1989	4.5	-1.7	11.1	10.8	14.8	19.3	24.0	26.1	13.5	13.6	5.5	-4.9
Portugal	1990	-2.5	-0.6	4.7	10.8	16.1	22.9	28.0	25.0	11.7	14.1	9.8	-3.7
Portugal	1991	-2.9	6.3	5.3	5.7	13.8	22.1	20.6	20.7	13.6	6.9	9.9	-2.9
Portugal	1992	-2.6	2.7	7.3	9.0	19.8	19.6	29.4	27.8	13.8	6.5	9.7	-2.9
Portugal	1993	-2.0	3.4	11.8	11.8	14.7	19.8	27.1	29.1	14.0	9.5	2.5	3.5
Portugal	1994	0.8	-0.4	11.1	6.1	15.0	16.0	28.7	27.0	15.7	12.7	4.4	0.6
Portugal	1995	-1.7	-2.0	9.5	8.5	19.9	19.4	21.0	27.5	15.2	7.3	9.9	4.9
Portugal	1996	1.2	2.5	5.9	6.7	19.5	24.3	23.1	27.4	15.3	7.8	2.1	-4.1
Portugal	1997	-0.7	4.7	3.1	8.3	10.0	20.3	29.7	27.0	15.4	10.4	7.7	-2.5
Portugal	1998	2.1	5.1	6.3	7.1	13.7	17.2	19.8	18.8	15.5	10.5	1.1	3.2
Portugal	1999	0.6	6.2	5.4	10.9	13.4	21.8	26.9	29.8	18.7	8.4	7.9	-0.5
Portugal	2000	-1.4	6.1	7.9	11.6	17.9	19.1	21.4	21.8	17.9	5.5	0.5	4.6
Portugal	2001	4.0	6.7	6.6	8.6	16.6	22.5	26.2	21.0	19.4	9.6	4.2	0.8
Portugal	2002	-4.8	3.2	2.3	7.8	19.5	21.5	20.1	27.8	19.8	10.4	2.9	-2.1
Portugal	2003	2.9	-1.3	4.2	7.1	10.5	15.5	29.1	18.9	16.4	5.1	1.2	2.2
Portugal	2004	1.4	4.2	7.6	5.5	13.0	17.8	20.6	21.5	17.9	8.0	2.5	3.8
Portugal	2005	-0.3	1.6	9.4	9.2	17.1	15.0	23.9	25.6	18.4	13.2	9.4	-3.1
Portugal	2006	3.4	5.3	4.0	9.7	13.6	24.2	21.7	27.6	12.8	7.9	3.9	3.7
Portugal	2007	3.8	-2.0	8.3	15.0	16.4	18.6	25.0	19.6	15.5	6.0	4.5	-3.6
Portugal	2008	1.8	1.9	8.1	7.4	12.9	20.0	27.3	22.3	12.5	9.6	9.6	-2.4
Portugal	2009	3.7	2.1	3.9	5.6	16.0	16.4	19.3	22.4	10.4	10.1	6.3	-2.4
Portugal	2010	3.5	2.2	5.0	5.2	10.8	17.1	19.1	29.1	13.2	5.1	4.2	-2.5
Portugal	2011	-3.6	6.3	3.5	11.7	19.4	17.1	23.8	29.1	14.4	9.8	8.3	2.6
Portugal	2012	3.6	3.6	5.7	7.5	12.8	22.2	21.6	28.1	17.9	12.2	7.4	1.3
Portugal	2013	-1.2	3.0	6.2	14.7	15.5	18.3	18.6	23.2	13.8	12.2	5.4	-3.1
Portugal	2014	1.0	5.9	11.7	13.9	12.8	22.7	19.9	28.6	14.8	7.5	9.9	-2.8
Portugal	2015	-0.8	-2.7	6.5	7.3	14.5	16.4	29.7	24.1	15.1	14.4	8.9	-3.7
Portugal	2016	-1.7	6.4	6.8	10.7	12.4	22.8	27.3	24.2	10.1	8.8	7.7	-3.9
Portugal	2017	-0.6	5.4	2.9	14.7	17.4	23.6	28.4	25.2	19.9	10.1	8.8	-2.8
Portugal	2018	-3.8	-2.5	7.6	9.1	10.6	19.6	21.3	20.4	12.9	9.1	7.8	1.7
Portugal	2019	1.7	-2.8	8.9	12.1	14.2	24.6	19.5	21.2	15.3	7.0	0.7	-1.9
Portugal	2020	-2.8	4.9	10.6	10.2	15.9	17.7	24.7	19.3	15.3	13.4	9.5	-2.7
Belgique	1950	-4.0	-2.3	11.3	7.5	15.0	24.2	27.2	24.8	14.9	10.9	8.0	3.3
Belgique	1951	2.5	-1.0	3.6	11.2	14.8	24.4	24.2	29.2	13.9	11.4	2.4	3.7
Belgique	1952	-4.7	4.9	8.6	11.1	17.0	18.9	29.9	24.6	13.8	9.4	4.2	-2.8
Belgique	1953	3.6	-1.4	11.1	12.4	13.8	24.7	20.5	24.2	19.0	12.7	9.3	-0.3
Belgique	1954	-3.3	4.8	5.5	9.4	12.0	16.8	20.8	26.2	19.1	7.9	7.4	-3.0
Belgique	1955	-2.1	3.5	6.9	6.5	11.9	17.7	23.1	28.9	14.4	10.6	6.1	-1.0
Belgique	1956	-0.4	4.4	2.1	10.8	11.2	24.2	19.8	29.8	17.8	7.4	5.1	-2.5
Belgique	1957	-4.2	1.8	8.3	10.8	15.9	18.2	22.4	26.8	19.0	5.7	0.4	4.1
Belgique	1958	3.8	1.8	5.5	11.7	17.8	18.5	27.7	26.2	11.0	9.6	4.2	3.3
Belgique	1959	-3.1	-2.9	9.3	5.6	15.3	23.1	20.1	26.3	11.2	11.6	2.7	4.1
Belgique	1960	-0.8	2.5	11.5	13.7	14.6	24.4	21.0	18.1	15.7	10.8	2.5	3.7
Belgique	1961	-1.1	5.1	5.2	9.6	12.2	23.3	25.2	24.1	15.5	5.7	1.3	2.1
Belgique	1962	0.3	4.2	5.0	12.4	14.6	24.3	26.8	26.3	12.6	11.9	0.6	-2.2
Belgique	1963	1.8	-1.1	4.0	13.1	11.4	17.0	22.2	27.2	18.6	8.8	9.7	4.3
Belgique	1964	4.1	4.1	5.0	6.1	18.7	17.3	22.1	22.0	14.1	13.5	2.4	-0.2
Belgique	1965	-3.3	4.6	10.6	13.0	19.2	23.2	18.0	25.6	13.5	11.3	7.2	0.2
Belgique	1966	-4.5	2.9	8.2	9.2	13.1	22.3	19.6	28.5	12.6	11.2	9.8	-4.2
Belgique	1967	4.9	1.0	10.9	7.5	12.5	16.7	28.9	28.2	19.7	15.0	7.4	0.1
Belgique	1968	1.6	-2.1	8.4	14.1	13.1	16.3	23.8	20.1	14.1	14.4	3.2	0.5
Belgique	1969	4.9	-2.3	7.4	14.4	19.3	24.5	20.4	24.7	10.1	8.8	0.3	-3.0
Belgique	1970	2.5	-2.3	8.4	10.0	12.5	20.6	29.3	23.0	16.0	9.9	3.3	1.8
Belgique	1971	0.7	-0.1	11.8	11.3	12.7	19.3	23.0	19.1	13.3	13.5	1.8	0.7
Belgique	1972	-3.5	5.7	6.9	10.6	12.6	20.4	18.9	26.8	10.6	13.2	9.6	-5.0
Belgique	1973	3.5	6.5	9.1	14.8	13.7	16.4	22.6	27.8	19.1	11.0	2.8	-4.9
Belgique	1974	-4.8	5.2	2.6	8.5	12.5	16.0	24.0	24.6	11.5	6.1	2.6	0.5
Belgique	1975	1.5	5.5	8.2	9.4	19.6	23.9	18.6	20.9	18.3	7.3	2.7	-3.9
Belgique	1976	-3.6	2.8	2.8	13.7	11.1	17.4	29.3	27.8	13.5	14.3	6.7	-4.8
Belgique	1977	4.3	1.8	6.4	7.0	18.9	24.8	28.5	26.5	10.7	7.4	7.8	-2.5
Belgique	1978	-1.4	5.3	7.3	12.8	19.3	17.0	21.0	27.1	16.1	14.8	6.3	1.0
Belgique	1979	-2.4	3.2	3.0	14.8	13.7	15.6	23.1	21.9	15.9	9.7	5.9	0.6
Belgique	1980	3.4	2.7	5.3	7.9	12.4	19.4	24.9	24.5	12.3	5.6	2.1	1.5
Belgique	1981	3.7	3.0	5.7	12.3	18.6	20.8	28.0	21.5	17.6	14.6	5.6	-2.2
Belgique	1982	1.5	0.4	2.9	12.6	10.1	23.8	19.5	19.0	17.9	13.3	0.9	-4.9
Belgique	1983	-1.0	-2.8	10.6	14.1	15.0	19.1	18.1	18.4	14.3	8.6	3.7	-0.5
Belgique	1984	-2.2	5.9	7.2	14.9	10.0	24.9	29.2	29.2	13.0	9.0	8.7	0.5
Belgique	1985	4.1	4.3	5.8	7.8	19.2	19.9	29.7	26.0	19.3	9.6	9.7	1.7
Belgique	1986	2.3	6.2	11.0	10.7	11.5	18.1	29.3	29.7	18.5	14.4	1.5	1.8
Belgique	1987	3.4	5.9	2.2	7.1	19.0	22.0	18.9	22.3	15.3	13.4	2.4	-4.4
Belgique	1988	1.8	3.8	11.8	10.1	12.2	21.6	29.0	25.4	13.3	5.0	9.5	4.4
Belgique	1989	-3.1	-1.9	10.3	11.1	14.7	22.8	25.3	21.0	10.1	10.5	3.2	4.4
Belgique	1990	3.4	4.5	5.4	10.0	10.3	21.9	20.6	22.5	16.6	10.3	8.6	-1.9
Belgique	1991	1.4	4.2	2.6	6.4	12.8	23.1	27.7	19.9	17.6	13.2	5.8	4.5
Belgique	1992	-2.3	-1.3	7.7	14.3	18.7	16.3	23.0	26.5	18.8	5.5	9.9	3.6
Belgique	1993	3.1	-2.4	6.7	6.2	13.9	21.3	24.7	21.2	13.9	10.7	9.7	-2.5
Belgique	1994	4.1	6.8	7.5	12.1	13.8	21.1	21.2	26.5	12.9	9.4	2.2	-2.3
Belgique	1995	-2.6	4.3	8.2	6.1	12.7	18.3	18.1	20.2	20.0	8.1	9.0	0.7
Belgique	1996	-0.1	0.7	7.5	6.3	18.2	23.3	29.7	28.7	15.3	14.1	7.6	-2.5
Belgique	1997	1.5	-0.2	6.1	7.7	12.3	23.7	23.9	30.0	13.0	10.1	5.4	-1.9
Belgique	1998	2.6	5.5	11.4	10.2	11.8	18.8	20.9	28.6	18.4	5.9	7.3	-0.4
Belgique	1999	4.8	-0.2	4.4	12.3	10.6	21.2	20.7	27.4	14.2	14.6	5.7	2.0
Belgique	2000	0.0	1.5	9.5	14.0	14.3	16.8	28.9	29.4	18.3	6.7	4.0	4.9
Belgique	2001	-3.1	0.1	4.4	7.6	19.3	19.8	29.3	29.8	11.0	10.0	9.9	1.2
Belgique	2002	1.6	-2.2	10.6	9.2	14.9	17.1	19.2	18.2	10.1	14.1	4.7	-3.3
Belgique	2003	0.2	7.0	3.2	6.4	11.8	22.1	24.1	26.2	19.8	13.3	7.9	0.9
Belgique	2004	-4.0	6.2	10.9	5.4	10.6	23.8	25.3	26.8	12.5	12.1	6.0	4.1
Belgique	2005	0.8	-1.5	2.2	14.6	11.4	23.1	21.4	20.6	17.4	7.9	0.2	-3.3
Belgique	2006	-0.4	-1.4	5.8	7.5	17.3	23.7	19.8	19.5	17.1	11.6	7.1	-3.1
Belgique	2007	3.8	4.6	7.2	14.2	17.6	16.5	26.2	26.8	12.1	5.6	8.5	4.6
Belgique	2008	4.7	2.8	10.7	5.1	10.4	16.1	27.2	28.5	12.9	6.1	1.5	-0.6
Belgique	2009	-3.6	5.2	10.2	7.8	11.4	17.0	21.6	24.4	14.7	10.7	9.2	-4.6
Belgique	2010	-1.0	1.4	4.8	6.7	14.1	22.0	19.8	28.1	13.9	13.8	7.6	-0.4
Belgique	2011	1.5	1.6	2.6	7.6	13.3	23.8	19.2	22.1	17.0	12.7	8.3	-4.1
Belgique	2012	-4.6	5.2	7.4	13.4	12.5	24.4	20.7	18.2	11.8	8.8	4.9	0.6
Belgique	2013	-2.0	-0.2	5.8	5.5	16.9	22.9	27.3	24.4	15.6	7.9	2.5	-3.0
Belgique	2014	-1.4	2.4	6.7	12.4	19.9	21.3	29.9	25.5	16.0	13.2	3.2	2.4
Belgique	2015	2.1	-0.4	3.4	9.5	11.4	21.2	27.3	22.6	15.6	14.9	1.3	4.1
Belgique	2016	-2.5	0.4	9.6	9.4	10.9	16.4	25.3	19.1	16.5	12.1	5.3	-0.8
Belgique	2017	-3.3	2.0	3.8	11.8	15.6	17.2	18.2	18.6	19.0	7.1	4.1	-4.3
Belgique	2018	-4.8	4.5	6.9	9.4	19.6	20.5	27.5	20.1	16.7	5.1	8.2	-1.5
Belgique	2019	-4.6	6.3	4.9	5.0	11.8	18.5	25.8	23.5	10.9	8.6	4.1	0.8
Belgique	2020	1.2	3.1	5.8	7.8	12.4	23.0	19.6	25.5	15.5	14.9	6.9	-1.6
Pays-Bas	1950	-1.1	1.2	8.0	9.0	12.6	22.4	22.1	18.9	19.6	10.2	8.3	-4.9
Pays-Bas	1951	-2.2	1.4	3.7	7.9	13.7	16.5	22.1	18.4	15.4	6.3	7.9	1.2
Pays-Bas	1952	1.9	-1.8	3.6	10.2	16.0	21.4	28.0	24.8	16.8	14.4	7.6	4.5
Pays-Bas	1953	-2.4	3.2	10.3	13.8	11.4	23.4	24.7	25.2	18.6	7.9	5.3	3.3
Pays-Bas	1954	-1.2	6.3	10.2	10.5	12.5	21.5	21.4	23.8	11.9	10.8	5.5	-1.6
Pays-Bas	1955	-4.1	6.7	5.7	13.5	17.3	24.2	21.3	18.5	13.8	9.2	5.5	-2.8
Pays-Bas	1956	-2.1	4.9	7.9	5.5	19.8	16.9	24.7	18.6	13.3	12.1	5.7	4.7
Pays-Bas	1957	-0.0	-2.8	7.3	14.6	11.7	21.7	19.6	20.1	14.2	7.4	6.5	-1.2
Pays-Bas	1958	-0.1	6.1	5.3	9.9	19.6	23.7	28.6	27.4	16.5	6.5	9.7	-2.7
Pays-Bas	1959	2.1	3.0	10.1	8.9	14.0	22.4	18.8	22.6	19.7	6.6	6.0	-2.9
Pays-Bas	1960	4.7	5.2	7.0	10.6	14.9	22.7	21.2	22.8	15.7	5.1	7.8	-0.2
Pays-Bas	1961	4.8	-2.8	4.0	6.0	17.0	19.9	20.4	20.1	12.9	8.9	7.8	-1.0
Pays-Bas	1962	-1.7	0.1	7.3	13.4	11.1	23.0	23.6	18.8	19.0	9.8	8.7	1.1
Pays-Bas	1963	3.7	1.4	6.4	8.9	15.2	21.3	23.6	29.9	14.6	7.1	1.6	-2.0
Pays-Bas	1964	0.3	0.8	11.9	11.6	13.4	18.0	19.6	19.5	14.6	12.1	4.0	-2.4
Pays-Bas	1965	0.3	-0.1	2.7	13.6	12.3	17.6	18.7	20.4	17.3	11.6	7.3	1.7
Pays-Bas	1966	-3.3	0.1	11.3	13.6	15.9	17.4	20.0	26.6	11.3	12.4	4.8	2.8
Pays-Bas	1967	3.2	6.1	10.2	10.7	14.8	24.7	24.3	22.7	19.7	5.1	3.7	0.2
Pays-Bas	1968	-4.0	6.3	8.6	7.7	18.0	18.7	19.2	28.0	10.7	11.0	5.6	-0.2
Pays-Bas	1969	3.5	-0.3	5.9	8.7	17.6	22.8	27.0	21.0	16.3	14.3	0.9	-1.5
Pays-Bas	1970	2.2	3.3	6.0	7.4	15.3	23.4	19.8	25.9	13.5	8.7	1.9	-2.0
Pays-Bas	1971	4.6	1.0	6.0	14.0	18.4	19.4	25.1	20.7	19.9	11.6	5.2	-1.2
Pays-Bas	1972	-3.9	1.2	9.2	14.5	16.2	18.7	26.2	23.6	15.6	11.6	9.2	3.1
Pays-Bas	1973	3.7	1.2	7.7	6.0	14.5	18.6	27.8	21.6	15.1	10.8	7.1	0.0
Pays-Bas	1974	-0.6	3.3	8.0	5.7	17.1	21.1	25.0	22.8	18.3	9.5	1.8	0.3
Pays-Bas	1975	4.9	1.3	3.6	6.7	18.9	21.7	21.1	19.3	13.7	8.2	7.1	-2.4
Pays-Bas	1976	-4.3	-0.7	8.5	6.2	10.9	18.4	28.8	24.6	10.0	7.9	4.3	-4.0
Pays-Bas	1977	-4.9	0.3	4.2	5.3	18.4	15.8	22.0	24.5	14.9	9.4	6.9	1.9
Pays-Bas	1978	3.8	1.7	10.8	13.0	17.4	19.1	28.6	24.8	17.8	9.0	9.8	2.3
Pays-Bas	1979	-2.4	-0.7	8.5	5.2	14.3	23.0	27.8	20.6	16.5	12.5	5.0	3.1
Pays-Bas	1980	0.4	4.8	2.6	5.2	11.7	15.1	20.6	26.2	11.6	13.7	5.8	4.4
Pays-Bas	1981	-4.5	6.3	7.0	9.5	17.6	21.6	19.3	27.3	18.0	8.4	1.1	-0.8
Pays-Bas	1982	-0.5	6.4	7.2	14.7	16.9	16.9	21.4	24.0	12.5	5.1	4.5	-1.1
Pays-Bas	1983	-1.5	0.1	5.4	10.0	18.9	20.6	27.4	25.6	15.1	11.6	2.6	-0.7
Pays-Bas	1984	-1.4	3.5	7.5	14.2	17.7	23.4	26.1	27.2	15.3	6.6	5.0	1.9
Pays-Bas	1985	1.4	1.2	7.8	5.8	16.8	18.0	27.7	18.3	15.6	14.5	1.2	-1.7
Pays-Bas	1986	-4.8	-2.8	9.6	7.3	10.5	24.8	27.4	24.5	15.8	14.9	5.5	2.2
Pays-Bas	1987	3.9	6.0	5.1	13.3	14.9	22.9	19.8	28.4	16.0	7.7	7.9	-0.1
Pays-Bas	1988	0.3	3.1	10.7	8.6	11.8	22.8	28.1	29.3	13.1	12.3	4.6	2.0
Pays-Bas	1989	4.6	5.7	6.0	5.9	17.2	15.6	20.1	22.4	14.6	13.1	2.3	4.7
Pays-Bas	1990	3.3	6.0	4.3	7.0	13.7	24.1	19.3	28.5	11.8	5.9	7.5	-1.1
Pays-Bas	1991	-2.0	1.1	3.0	11.1	18.7	17.5	24.7	29.1	14.2	13.9	4.8	3.0
Pays-Bas	1992	-4.3	1.1	11.3	6.1	13.3	24.5	19.6	22.5	15.2	11.2	9.7	4.5
Pays-Bas	1993	-3.7	-2.9	11.5	12.1	13.8	21.6	19.5	23.9	17.5	9.8	9.5	-1.7
Pays-Bas	1994	2.9	-1.5	3.0	14.1	10.9	15.0	19.6	20.8	19.4	11.5	0.2	-4.8
Pays-Bas	1995	3.8	2.9	3.5	7.1	19.5	19.0	24.8	25.1	18.4	6.7	7.6	0.6
Pays-Bas	1996	-2.5	1.7	10.5	7.7	14.4	20.8	28.5	27.7	10.1	9.0	3.0	3.3
Pays-Bas	1997	-1.6	-1.3	3.6	12.0	10.8	22.2	19.3	26.0	15.5	7.2	4.9	-0.3
Pays-Bas	1998	2.9	1.6	10.7	13.2	19.7	20.7	22.7	29.2	17.0	7.6	6.9	2.8
Pays-Bas	1999	0.5	-2.0	12.0	5.3	15.3	19.1	27.6	27.4	15.6	8.0	9.6	0.7
Pays-Bas	2000	-1.5	6.0	2.0	9.6	19.2	16.1	19.7	18.9	12.6	9.8	1.4	0.1
Pays-Bas	2001	-4.7	6.6	9.4	8.3	10.0	23.4	25.2	29.5	13.5	13.8	9.4	-4.3
Pays-Bas	2002	-3.8	5.9	7.5	12.1	10.3	18.7	28.4	19.0	18.3	14.5	1.5	-3.6
Pays-Bas	2003	-4.1	-2.4	10.7	6.0	14.5	24.4	20.9	28.0	19.0	13.2	8.4	-3.8
Pays-Bas	2004	1.3	3.0	7.2	5.5	14.8	21.8	24.5	28.0	13.9	10.8	9.5	3.1
Pays-Bas	2005	1.3	0.2	9.0	8.6	10.6	17.6	21.1	27.5	19.6	6.7	5.7	-1.3
Pays-Bas	2006	-0.7	-2.6	8.4	13.3	18.9	21.7	19.9	19.7	14.0	5.7	9.0	-4.4
Pays-Bas	2007	2.2	2.4	7.3	10.2	12.1	17.1	28.3	27.8	15.8	12.1	2.4	3.6
Pays-Bas	2008	2.4	2.3	6.7	5.3	14.9	23.2	29.3	23.7	12.4	6.4	7.9	-3.9
Pays-Bas	2009	-4.7	2.3	5.5	7.1	18.8	17.5	20.8	28.6	11.8	6.6	4.2	-0.9
Pays-Bas	2010	1.4	3.9	2.5	6.5	16.2	21.7	21.8	27.1	10.6	8.6	0.4	0.4
